S.N,Actual Value,Predicted Value,News Content
10,0,0,sri lanka healthcare verge collapse economic crisis rajini vaidyanathanbbc south asia correspondent colombo doctor across sri lanka say hospitals run medicine essential supply country economic crisis worsen fear health catastrophe international help arrive soon day day things run get point zero know happen say dr gnanasekaram anxiously secretary sri lanka association medical specialists surgeon busy compile list medicine run low hospitals capital colombo short medical drug anaesthetic drug implant suture materials nearly exhaust stock healthcare service go collapse unless immediate relief say meet dr gnanasekaram consultations say hop interview encourage international donors come forward supply replenish soon doctor warn dire consequences happen may situation able save patients live sri lanka midst worst economic crisis history country import around medical supply foreign currency reserve run low essential drug difficult obtain office sri lanka largest children hospital lady ridgeway medical director dr wijesuriya show piece paper list essential drug next name medicine column show availability like atracurium use anaesthetics two months stock leave scan list drug even shorter supply two weeks leave painkiller fentanyl three different type antibiotics already stock dr wijesuriya say manage shortages substitutions remain optimistic government find way get need patients frontline doctor far less upbeat many say tell government speak openly media situation union representatives hospital directors authorise statement sri lanka government initially deny medicine run even doctor report problems day later department government information issue correction admit shortage drug equipment document see bbc interview medical unions testimony frontline doctor reveal hospitals across nation desperate need range life save drug equipment medical staff tell bbc crunch supply force suspend non essential operations reuse ration equipment dr nishan real name work cancer hospital eastern province two weeks time may stop surgeries emergencies tell reel list essentials like iv fluids paracetamol antibiotics team struggle get hold may time even stop treat cancer patients warn dr nishan area hit hard country civil war work doctor conflict many challenge economic crisis come many others war limitations could still get things ministry colombo say even health ministry supply wartime frustrate desperate sri lanka run free national healthcare system millions people island rely kasun real name work hospital southern province say matter days drug run unless supply come tell use sparingly real solution feel helpless largest doctor union island government medical officer association gmoa blame crisis poor financial economic management call people overseas donate supply publish extensive list items desperately need include antibiotics paracetamol blood pressure medicine anti depressants whatsapp group sri lankan doctor around world busily try source drug diaspora pitch help desperate time dr saman kumara president perinatal society sri lanka record desperate video message last week plead et tube help newborn baby breathe almost use stock et tube available weeks say dr kumara say instruct staff clean sterilise tube case need reuse message go doctor around world spring action help within hours say donate adequate amount et tube hospital say shortages remain work save baby charity help co ordinate efforts dr anver hamdani recently appoint sri lankan health ministry co ordinate efforts keep healthcare service run tell bbc colleagues work overcome shortages hop pledge overseas governments include credit line india main supplier sri lanka medicine plus donations come prevent loom crisis admit challenge period reasonable amount shortage certain things yet control process control say concede short term supply problem fix sustainable finance solution still need find sri lanka medical crisis compound add pressure staff face video play kasun say workers hospital tell overtime payments cut budget strain like millions across country doctor struggle obtain basics many say queue hours get fuel cars get hospital become difficult live salaries go cost live skyrocket say tens thousands take streets protest rise food fuel price doctor nurse medical students join demonstrations back office dr gnanaksekaran plead world help need supply come whatever form whether another country government individual donation professionals apolitical concern patients want able treat want die mass protest sri lanka food queue indian ocean island soar cost live hit sri lanka hard tear gas water cannon sri lanka protest sri lanka profile
11,0,1,democrats scramble reverse course covid restrictions ahead midterms rep nicole malliotakis r n discuss democrats decision drop mask mandate around country democrats across country scramble reverse course covid restrictions year midterm elections loom notable exception white house democrats every level signal support return normal poll show americans weary coronavirus restrictions republican state largely do away accord recent poll monmouth university americans say time country move pandemic decrease number americans support covid relate mandate president biden approval rat handle covid strength also underwater approve disapprove accord poll house democrats reelection chair call roll back covid restrictions give people live back biden choose follow lead center disease control prevention cdc still recommend universal mask indoors school midterms ahead many democrats lead way issue lockdown order mandate course pandemic ease restrictions state defiance administration numerous blue state governors week announce roll back coronavirus restrictions prominent congressional democrats also signal support return normal new york gov kathy hochul announce state end covid mandate require face cover indoor public settings keep school illinois announce rhode island gov dan mckee say wednesday state end indoor vaccine mask requirement week follow school mask mandate march massachusetts generally consider blue state centrist republican governor end school mask mandate end month earlier week new jersey connecticut delaware disclose plan join state lift never mask requirements school swing state like michigan colorado pennsylvania among first democrat lead state loosen covid restrictions last year michigan gov gretchen whitmer reelection year implement strictest covid order country include ban travel two residences sell non essential goods lift restrictions last summer since push vaccinations best way slow spread colorado gov jar polis also reelection take similar approach refuse implement new mandate pennsylvania gov tom wolf unable run year leave seat grab say december local municipalities know think ought free want echo many republicans like florida gov ron desantis vilify say past two years less year ago biden say lift mask mandate republican lead state amount neanderthal think president biden speak east room white house jan washington associate press movement move pandemic appear speed recent days new coronavirus case decrease follow omicron variant surge also expedite matter new johns hopkins study say lockdowns little curb covid death rate new guidance friday cdc say popular cloth mask accept mandate least effective prevent spread new jersey gov phil murphy democrat barely eked win reliably blue garden state november first lift school mask mandate week new cdc guidance democratic governors california delaware oregon connecticut new york quickly follow course go manage covid zero murphy say monday twitter learn live covid move pandemic endemic phase virus new jersey gov phil murphy see new brunswick new jersey oct getty image statewide indoor mask requirement expire california gov gavin newsom reelection fall tweet monday unvaccinated people still need wear mask indoors oregonians step omicron surge wear mask get vaccinate boost keep safe oregon gov kate brown unable run reelection announce monday action oregon lift mask requirements later march lift de statewide mask mandate indoor public settings friday feb delaware gov john carney tweet monday mask requirement k public private school child care facilities expire thursday march time end statewide school mask mandate enable local board education decide best school connecticut gov ted lamont reelection tweet wednesday time say right decision lift mandate indoor businesses let counties cities businesses make decisions want respect mask vaccination requirement new york gov kathy hochul run keep governor seat say wednesday drop state mask vax mandate businesses shift democratic message surround pandemic buoy part republican gov glenn youngkin upset win virginia november focus group find third way think tank align democrats find swing voters vote youngkin democratic candidate terry mcauliffe motivate covid restrictions school closure even critical race theory teach classroom nbc news report msnbc others hit hypocrites contradictory coverage youngkin murphy mask mandate order house democrats reelection arm pick message ahead midterms democrats face uphill battle hold onto razor thin majorities house senate democrats plan fight covid work case vaccines widely available rep sean patrick maloney chairman democratic congressional campaign committee tweet wednesday time give people live back science guide ready start get back normal people ready pivot pandemic house speaker nancy pelosi say wednesday stark contrast leave say month ago youngkin ban school mask mandate virginia kid die cnn political pundit joe lockhart tweet three weeks ago click get fox news app despite relax covid restrictions multiple democratic governors biden stick cdc white house press secretary jen psaki downplay apparent conflict governors administration wednesday reporters press psaki administration appear one step behind biden fellow democrats guidance consistently psaki say high transmission area everywhere country wear mask indoor settings include school associate press contribute story jessica chasmar reporter fox news digital story tip send jessica chasmar fox com twitter jessicachasmar get stories need know powerful name news deliver first thing every morning inbox subscribe successfully subscribe newsletter
12,0,1,russia reject cease fire civilian evacuation amid eastern orthodox holy week bill hemmer report putin erratic strategic position enter new phase russia ukraine war world russia reject temporary cease fire ukraine unite nations secretary general request purpose civilian evacuation eastern orthodox holy week lead easter russia deputy un ambassador say cease fire request sincere would provide time arm ukrainian soldier dmitry polyanskiy deputy ambassador tell security council tuesday cease fire request insincere practice merely point aspiration provide kyiv nationalists breathe room regroup receive drone antitank missiles manpads new york time report manpads refer man portable air defense systems smaller portable surface air missiles russia invade ukraine live update u n secretary general ant nio guterres call day ceasefire allow evacuations battle zone safe corridors bring food medicine russian president vladimir putin see country consistently deny role poison ex spy daughter u k soil alexei druzhinin sputnik kremlin pool photo via ap civilians include children remain trap eastern region donbas russian force begin new fierce offensive devastate port city mariupol guterres say earlier tuesday million people ukraine need humanitarian assistance predict number would rise million ukrainians remain country even china condemn russia abstain vote resolutions aggressor country say support humanitarian cease fire may file photo unite nations secretary general antonio guterres photograph interview unite nations headquarter ap photo mary altaffer file russia permanent member security council twice use veto power resolutions focus ukraine invasion begin february russia rejection also come head world council church reach moscow patriarch kirill urge use religious authority head russia orthodox church call cease fire orthodox christians celebrate easter weekend humble request holiness particular impossible situation intervene ask publicly ceasefire least hours resurrection service rev ioan sauca romanian orthodox priest act general secretary world council church write letter publish tuesday russian orthodox patriarch kirill deliver christmas liturgy christ saviour cathedral moscow russia thursday jan ap photo alexander zemlianichenko sauca request move order give chance soldier terrify civilians embrace greet one another paschal greet silence moment bomb missiles hear instead triumphant sound church bell joyful sign faithful people may short ceasefire foretaste proof last peace achieve click get fox news app sauca note orthodox greek catholic faithful ukraine russia world prepare celebrate end week important feast year day resurrection priest also note fight world war stop moment soldier could share one another resurrection greet tyler neil editor fox news twitter news tip send tyler oneil fox com get stories need know powerful name news deliver first thing every morning inbox subscribe successfully subscribe newsletter
13,0,1,fox news poll voters want us help ukraine russia fox news flash top headline check click foxnews com american voters closely follow news russia invasion ukraine want help margin voters think u ukrainians fight russia fully concern invasion approve ukrainian president volodymyr zelenskyy respond new fox news national survey also find grow portion say russia ukraine conflict matter life unite state feel way last month issue democrats republicans largely agree democrats republicans think happen ukraine make difference home democrats republicans approve zelenskyy two thirds party want ukraine voters mean say u large majorities favor continue strict economic sanction russia favor provide additional military equipment ukraine smaller number although still majorities favor ease immigration requirements u ukrainian refugees send additional troop nearby nato countries create fly zone ukraine voters stop short send u troop ukraine twice many oppose idea favor us secretary state blinken say russia commit war crimes ukraine generally bipartisan agreement potential action although partisan gap come ease immigration requirements ukrainian refugees favor democrats compare republicans support additional action mean voters concern potential cost three quarter worry support ukraine could result war u russia u russia conflict could lead nuclear war concern limit desire help favor provide ukraine equipment support give substantial military aid stand risk u war russia even favor economic sanction russia fall sanction lead higher price financial hardship americans one month russian invasion many voters continue lack confidence president biden judgment crisis half disapprove handle russia response invasion despite mostly bipartisan support policies respond russia little unity biden rat democrats four time likely republicans approve response invasion vs biden action response russia invasion ukraine mostly line voter preferences say democratic pollster chris anderson whose company beacon research conduct fox news survey along republican pollster daron shaw face inflation entrench partisanship home enough point improve overall stand meaningful way russia ukraine mccarthy say european partner look leadership get biden currently voters approve biden overall job performance disapprove last month point increase approval come double among republicans approval february eighty two percent democrats independents approve among approve biden overall approve response invasion ukraine two thirds disapprove biden handle inflation worst rat issue measure disapprove biden china border security economy click topline crosstabs deal coronavirus biden net positive rat approve vs disapprove journalists pundits suggest biden might receive rat boost political scientists call rally around flag effect say shaw rally effect occur president commit u force conflict play perceptions biden case much tie whether voters think walk fine line tough putin get u another war veterans likely voters approve zelenskyy point think u ukraine favor send troop nearby nato countries less likely favor create fly zone ukraine think u support could lead war u russia nuclear war click get fox news app conduct march joint direction beacon research shaw company research r fox news poll include interview register voters nationwide randomly select national voter file speak live interviewers landlines cellphones total sample margin sample error plus minus three percentage point fox news victoria balara contribute report
14,0,1,sean penn tell get f k ukraine film documentary sean penn discuss documentary focus ukraine russia conflict special report bret baier actor sean penn say warn go ukraine film documentary country brink war russia later tell get f hear robert brien say get f penn say interview air special report monday segment feature panel discussion penn brien moderate fox news host bret baier richard nixon presidential library museum yorba linda california penn describe warn go ukraine government extremely good caution american diplomats pull foreign service officer pull kyiv go nobody calvary sean penn discuss decision shoot documentary ukraine fox news bret baier fox news ukrainian president volodymyr zelenskyy speak kyiv ukraine tuesday ukrainian presidential press office via ap sean penn discuss masculinity american culture mike coppola getty image continue speak robert whole time know region much better make calculate would fine whatever happen think anybody want give level denial would happen would give hope happen oscar win actor describe meet ukrainian president volodymyr zelenskyy witness short period time world change meet man suit next morning russians invade go back president zelensky wait meet point next time saw camos world change say hannah grossman associate editor fox news digital story tip send twitter grossmanhannah get stories need know powerful name news deliver first thing every morning inbox subscribe successfully subscribe newsletter
15,0,1,elon musk reportedly set move twitter within days house oversight reform committee member michael cloud discuss censorship conservatives even edit tesla ceo elon musk will invest billion cash take twitter private make bid within days accord tuesday report new york post report tuesday musk stake social media company tap morgan stanley help raise additional billion ceo tesla motor elon musk speak tesla giga texas manufacture cyber rodeo grand open party austin texas april suzanne cordeiro afp via getty image getty image musk massive billion bid purchase company per share may require borrow company stock addition raise money private equity investors post report cite two source close situation estimate billion musk reportedly will invest well roughly billion stake company source tell post co investors collectively equity twitter musk remain single largest shareholder elon musk tweet philosophy social media policy amid bid buy twitter co investors reportedly finance hostile tender directly twitter shareholders happen outside investor ambition take another company management approval bless musk launch tender officer within roughly days accord post remain see successful musk raise necessary cash propensity controversy turn investors photo illustration logo twitter see smartphone photo illustration thomas trutschel photothek via getty image getty image last week twitter adopt measure know poison pill refer tactic company employ block investor accumulate majority stake company shareholder accumulate stake company purchase approve board directors shareholders get right buy additional share discount dilute roughly stake musk recently purchase musk bid successful would need win full approval majority twitter shareholders desantis look hold twitter board accountable response musk buyout bid fox business reach musk comment hear back publication twitter decline comment twitter leave open possibility negotiate musk another suitor regulator file monday twitter board say shareholder right agreement interfere merger offer approve board elon musk gesture speak press conference spacex starbase facility near boca chica village south texas february photo jim watson afp via getty image getty image make offer public musk provide detail finance disclosure could improve chance could raise money borrow billions use stake tesla spacex collateral could bring investors poison pill would give stockholders april right buy one one thousandth share prefer stock common share price right trigger person group investors buy company share without board approval click get fox business app prefer stock would vote right common share accord file specifically mention musk associate press contribute report
16,0,1,miami mayor unify gop youth vote boomer transition offer opportunity miami mayor francis suarez say look unifier create generational opportunities inspirational aspirational miami mayor francis suarez set sight help republican party win youth vote leadership style unifier inspirational aspirational suarez tell fox business stuart varney varney co tuesday understand generational inflection point suarez believe baby boomers hand baton younger generations like millennials gen z technologically incline think offer opportunity particularly see metamorphosis industrial economy digital economy mayor note think create generational opportunities leadership lean bitcoin crypto climb higher expert miami become one important cities america young people accord suarez also point become top spot job growth francis suarez tell fox business baby boomers hand baton younger generations technologically incline photo taylor hill filmmagic istock getty image keep tax low lean public safety lean innovation say simple formula think formula america success part attract youth vote create valuable job within sectors find interest tell bring hundreds thousands crypto job already city high pay job suarez explain mention city turn profit sell miami heat arena name major crypto exchange become home etoro blockchain com headquarter host world largest bitcoin conventionthis year economic impact tens hundreds millions u dollars mayor say miami mayor francis suarez say city almost ready roll cryptocurrency taxpayer platform get fox business go click suarez still sight set make miami new bitcoin city actually get pay bitcoin wag pay bitcoin almost point pay tax bitcoin read fox business
17,0,1,two republicans go donald trump hit list analysis chris cillizza cnn editor large update gmt hkt february cnn even gop leaders try turn focus country president joe biden former president donald trump keep fight last war go republican incumbents either vote impeach otherwise wrong point youtube episode weekly youtube show chris cillizza delve little deeper surreal world politics click subscribe
18,0,0,angelina jolie make emotional speech victims abuse video play angelina jolie make emotional speech advocate violence women act actress address us congress start well start talk victims abuse group bipartisan senators pass renewal violence women act decades old law lawmakers fail reauthorise recent years hop legislation help reduce domestic violence extend support victims
19,0,0,pressure build biden democrats move past covid americans remain deeply divide mean live virus location april move would unthinkable last year weeks holiday surge crush hospitals people die single month typical annual flu season four democratic governors week declare end date statewide mask mandate school new change take effect several weeks gov ned lamont connecticut mandate expire feb follow new jersey march oregon delaware march presumably omicron wave end case count low decisions also leave local school district option keep mandate place still message democratic governors president joe biden unmistakable midterms nine months away democrats join chorus republicans say nation must learn live virus press biden chart path forward democratic voters run empathy unvaccinated people die covid say brian stryker partner impact research democratic poll firm ready live live year vaccine already shape year voters demand u move health experts live covid mean pay attention local case count dial restrictions need also mean take step protect people immunocompromised higher risk breakthrough case well children age still qualify vaccine many americans though include grow number democratic voters live covid mean loosen restrictions regardless case count vaccination status accord new axios ipsos poll two thirds americans say believe possible u eradicate coronavirus within next year although divide handle reality put unique pressure biden ahead state union address march speech typically use sit presidents declare victory look toward future public say enough politicians say enough say frank luntz longtime republican pollster strategist biden say enough sotu dig hole climb democratic governors know closer people write email abc news democratic official familiar think governors say talk offer covid wary americans light end tunnel omicron wave press white house biden upcoming national address governors acutely aware need provide people optimism give people sense path forward say official agree interview condition anonymity order speak openly want talk win good ones talk like job growth infrastructure investments covid relate person say biden initial plan liberate americans pandemic last fourth july center vaccinations ensure widespread equitable access eventually turn workplace mandate yet one year later tens millions eligible americans remain unvaccinated mandate large businesses scuttle supreme court covid hospitalizations deaths also eclipse comparisons flu example people die complications covid january alone one highest monthly covid death toll record comparison typical flu season might result deaths entire year accord center disease control prevention u last week average new case day per residents time cdc consider low transmission cdc still recommend mask indoors include school people age sure face lot pressure internally externally try make sure pandemic andy slavitt former biden adviser covid say abc start podcast democratic governors quite clear democratic governors insist public health remain priority hard ignore week rollbacks political calculation democrats look toward midterm elections connecticut lamont reelection fall oregon democratic gov kate brown term limit expire fall leave seat grab new jersey democratic gov philip murphy come narrow victory last fall race surprise many pundits close also worth note republican glenn youngkin victory virginia last fall flip enough democratic voters win governor race promise keep school open empower parent make education decisions celinda lake democratic strategist lead pollster biden presidential election say think move governors gamble case rise might go back public ask restrictions impose also note overall poll country still suggest strong support among americans mask school moms women particular err side caution biden take account majority voters address nation even vocal say people look certainty look consistent leadership look clear criteria yes express short term frustration fatigue steady leadership go beat go go back forth say stryker say still think goal least political standpoint move away talk pandemic much democrats democrats stop talk covid every day treat like long term problem start talk immediate concern voters like high cost live better midterms say arielle mitropoulos contribute report
20,0,1,doj say appeal mask mandate decision cdc call rule monday void mask mandate public transit new mask guidance leave millions navigate change rule department justice announce tuesday night would appeal recent rule void federal mask mandate public transit center disease control prevention deem necessary question whether cdc still think mandate public transit important public health tool decision stand behind last week extend mandate may monitor uptick case ba variant transmissible strain omicron cdc move reimpose mandate unclear whether action justice department lead change mandate set expire anyway department justice center disease control prevention cdc disagree district court decision appeal subject cdc conclusion order remain necessary public health justice department say statement tuesday cdc conclude mandatory order remain necessary public health assessment department justice appeal district court decision cdc part respond later tuesday night say still assess need mask requirement cdc continue recommend people wear mask indoor public transportation settings continue assess need mask requirement settings base several factor include u covid community level risk circulate novel variants trend case disease severity cdc say decision monday make florida judge appoint former president donald trump strike federal mask mandate apply public transportation effectively lift requirement plan train bus well inside airports across unite state rule u district court judge kathryn mizelle say mandate establish cdc exceed statutory authority violate procedures require agency rulemaking judge decision effective immediately though federal government expect appeal decision neither president joe biden white house press secretary jen psaki indicate way doj lean announcement tuesday even issue mask political lightning rod ahead midterm elections one administration seek aggressively fight since mask mandate already lift much country late monday night administration official say transportation security administration would longer enforce requirement wear mask public transportation cdc continue recommend fallout court decision leave americans patchwork rule fly without mask new york laguardia kennedy airports put one walk airports example meanwhile amtrak ride share service like uber lyft drop mask rule several major cities include new york chicago los angeles san francisco still require public transportation last month ceos major u airlines write biden administration ask end mask requirements plan make sense people still require wear mask airplanes yet allow congregate crowd restaurants school sport events without mask despite none venues protective air filtration system aircraft business executives write group say burden enforce mask mandate fall employees function train perform subject daily challenge frustrate customers turn take toll well report unruly passengers flight year involve face cover accord federal aviation administration abc news alex mallin luke barr sam sweeney anne flaherty contribute report
21,0,0,russian offensive limit far fall mariupol inevitable pentagon update day move prelude larger operations u defense official say russia declare new phase special operation underway pentagon provide daily update u assessment russian invasion ukraine ukraine efforts resist highlight senior u defense official tell reporters tuesday day limit russian offensive operations far eastern ukraine u see limit russian offensive operations southwest donetsk south izium believe prelude larger offensive operations russians plan conduct senior u defense official say actual grind offensives support course long range fire mostly artillery right russian doctrine official say ongoing fight region devastate offensive still work see comment president zelenskyy yesterday even lavrov new offensive begin think prelude larger offensive operations russians plan conduct push back notion offensive operations begin think prelude larger offensive operations potentially still off official say pentagon believe russia military work learn mistake fight north plague logistical supply problems conduct officials call shape operations set favorable condition battlefield begin new offensive earnest word continue reinforce continue make sure logistics sustainment place continue make sure proper aviation enable capability official say last hours two russian battalion tactical group btgs combat troop send ukraine accord official bring total estimate btgs inside country south east putin total combat power originally array ukraine remain accord official take account military capabilities include troop casualties destroy vehicles aircraft expend missiles lowest assessment hear pentagon fall mariupol donbas inevitable people speak inevitable mariupol go fall inevitable donbas take russians see way everything make sure inevitable official say fight concentrate around donbas ukraine move aid come u others way across country right know discussions ukrainians get materiel get hand fighters official say russia aim isolate ukrainian force east clearly russians want cut defeat donbas official say reiterate defeat inevitable ukraine operable plan weeks ago separate brief later tuesday pentagon spokesman john kirby say ukraine currently operable military plan right two weeks ago ukraine receive additional aircraft well part get damage plan fly kirby reticent provide detail part plan come stress come u receive additional aircraft aircraft part help get aircraft air kirby say camera brief pentagon accident nations experience kinds aircraft able help get aircraft run say kirby certainly help trans shipment additional spare part help aircraft need transport whole aircraft say russian missile strike u assess russia fire least missiles ukraine since begin invasion official note bad weather lower visibility make harder u observe launch battlefield action actual number could higher despite recent airstrikes kyiv lviv russia firepower focus mariupol donbas
